tempopen,pressure,jobarrival_Machine,usedrawmaterial_amount,timetaken_transport
24.2629376640916,10.9419477226588,0,1.03271045021308,4
25.7288155508197,12.8672786526371,1,1.61608732389922,1
23.8695035733241,16.8490320964722,2,1.85446487802775,1
24.1874211705777,14.8531207592879,0,0.949367975311775,3
24.8468386074934,16.6282883663281,0,0.94206376338176,2
25.2580411333919,16.9360582091639,0,1.29802209970228,3
24.5761705828619,19.7257187797073,1,1.89353635962627,1
24.8529722370744,15.5274718503119,0,2.84701529786972,2
26.9614584477245,24.0386518343961,0,1.17111236860602,2
25.6993447479567,12.9115358218851,0,1.29606924579803,2
23.2095429350653,22.2552074932346,0,0.759867193226305,5
27.3957332851304,21.674323015477,0,1.27474142412115,1
27.807022565725,23.1093672733584,2,1.64293706502778,1
27.9447482228551,14.2906551148555,0,0.930584940527916,1
24.0426166579392,15.6719773088242,0,1.69131361692097,8
25.9455578103748,16.9945370754323,0,0.738376667795129,3
26.7686818614843,14.0084486653386,0,0.86170353624169,2
27.036285264702,18.0607302660135,0,1.4131285468231,1
26.4724384063686,15.9874038746263,0,1.25713748239551,2
26.0697242855403,22.5900667292727,2,1.02227296900373,4
26.8313431704024,21.051805242828,0,0.996532415268468,6
26.5598770422019,19.1665484515606,0,0.823663729324628,4
25.6719143064515,18.794630519076,0,0.93626680156376,1
26.7879761344759,13.7366848977496,0,2.42134133023193,1
29.2617216904974,23.9466730364954,0,1.32630406088411,1
25.4366150725084,19.5909333029021,1,2.90797477500645,2
24.5811906781399,20.5840760891711,0,1.36237271567318,10
26.6623508538505,21.6518756989403,0,1.61995147741012,7
26.9353516841933,23.6244814374387,0,1.43969534535001,2
24.5564472267228,17.3617169225344,0,1.8551825065397,3
25.9868922766566,16.7663208724658,1,2.06970374129072,1
23.1761988515341,14.1598521570458,1,3.28510700157349,2
24.9041363816145,15.2304003233831,0,3.32798099813381,3
27.4914878460695,14.938437801922,1,1.85672819855936,1
24.1506207675107,14.6620740560771,0,2.53550699231087,6
28.6042223707399,23.1020076261099,0,0.937739849255166,7
